session_id,faculty_id,batch_id,session_alloc,session_role,session_date,session_taken,session_left,session_status
1,2255,4219,0.25,Educator,2022-01-03,0.25,0.0,Completed
2,5023,4297,0.75,Co-Educator,2022-01-03,0.41,0.34,Partial
3,5578,4306,0.25,Co-Educator,2022-01-03,0.25,0.0,Completed
4,5254,4417,0.5,Educator,2022-01-03,0.0,0.5,Pending
5,1418,4142,0.5,Co-Educator,2022-01-03,0.19,0.31,Partial
6,4139,4058,0.75,Co-Educator,2022-01-03,0.75,0.0,Completed
7,2938,4049,0.5,Co-Educator,2022-01-03,0.3,0.2,Partial
8,3628,4092,0.75,Co-Educator,2022-01-03,0.75,0.0,Completed
9,2122,4375,0.25,Co-Educator,2022-01-03,0.25,0.0,Completed
10,3680,4412,0.5,Invigilator,2022-01-03,0.5,0.0,Completed
11,1753,4253,1.0,Co-Educator,2022-01-03,0.44,0.56,Partial
12,1898,4304,0.25,Educator,2022-01-03,0.18,0.07,Partial
13,5136,4191,0.25,Educator,2022-01-03,0.0,0.25,Pending
14,3731,4126,0.5,Co-Educator,2022-01-03,0.34,0.16,Partial
15,1140,4104,0.75,Co-Educator,2022-01-03,0.28,0.47,Partial
16,2938,4174,0.25,Co-Educator,2022-01-03,0.25,0.0,Completed
17,3019,4056,0.25,Educator,2022-01-03,0.25,0.0,Completed
18,3075,4272,1.0,Invigilator,2022-01-03,0.45,0.55,Partial
19,5051,4119,0.5,Co-Educator,2022-01-03,0.5,0.0,Completed
20,4414,4229,0.5,Educator,2022-01-03,0.5,0.0,Completed
21,4610,4456,0.5,Co-Educator,2022-01-03,0.34,0.16,Partial
22,2028,4218,0.75,Educator,2022-01-03,0.75,0.0,Completed
23,4571,4421,0.5,Co-Educator,2022-01-03,0.5,0.0,Completed
24,2990,4275,1.0,Educator,2022-01-03,1.0,0.0,Completed
25,5732,4178,0.5,Co-Educator,2022-01-03,0.5,0.0,Completed
26,1386,4041,0.75,Co-Educator,2022-01-03,0.0,0.75,Cancelled
27,1989,4406,0.25,Co-Educator,2022-01-03,0.18,0.07,Partial
28,2558,4462,0.75,Educator,2022-01-03,0.32,0.43,Partial
29,1519,4032,0.25,Educator,2022-01-03,0.25,0.0,Completed
30,2106,4441,0.75,Educator,2022-01-03,0.75,0.0,Completed
31,1117,4169,0.5,Co-Educator,2022-01-03,0.24,0.26,Partial
32,2061,4443,0.5,Educator,2022-01-03,0.0,0.5,Cancelled
33,3599,4155,0.75,Co-Educator,2022-01-03,0.75,0.0,Completed
34,1145,4003,0.25,Co-Educator,2022-01-03,0.2,0.05,Partial
35,1893,4042,0.25,Co-Educator,2022-01-03,0.25,0.0,Completed
36,2086,4085,0.5,Educator,2022-01-03,0.5,0.0,Completed
37,3024,4010,1.0,Co-Educator,2022-01-03,0.0,1.0,Cancelled
38,4977,4157,1.0,Co-Educator,2022-01-03,0.0,1.0,Pending
39,2972,4471,0.25,Co-Educator,2022-01-03,0.25,0.0,Completed
40,3827,4390,1.0,Educator,2022-01-03,0.0,1.0,Pending
41,1779,4244,0.25,Co-Educator,2022-01-03,0.0,0.25,Cancelled
42,3785,4170,0.25,Educator,2022-01-03,0.0,0.25,Pending
43,5341,4292,0.75,Co-Educator,2022-01-03,0.75,0.0,Completed
44,3345,4200,0.5,Co-Educator,2022-01-03,0.5,0.0,Completed
45,3298,4150,0.25,Educator,2022-01-03,0.18,0.07,Partial
46,4022,4363,0.25,Co-Educator,2022-01-03,0.14,0.11,Partial
47,2937,4024,0.25,Educator,2022-01-03,0.25,0.0,Completed
48,2600,4159,1.0,Educator,2022-01-03,1.0,0.0,Completed
49,5201,4410,1.0,Co-Educator,2022-01-03,0.36,0.64,Partial
50,4996,4280,0.25,Co-Educator,2022-01-03,0.25,0.0,Completed
51,5210,4136,0.25,Co-Educator,2022-01-03,0.16,0.09,Partial
52,5041,4139,0.75,Co-Educator,2022-01-03,0.46,0.29,Partial
53,5428,4276,1.0,Co-Educator,2022-01-03,0.0,1.0,Pending
54,3709,4105,1.0,Educator,2022-01-03,0.0,1.0,Pending
55,5272,4470,0.75,Co-Educator,2022-01-03,0.0,0.75,Pending
56,2267,4154,0.75,Co-Educator,2022-01-03,0.44,0.31,Partial
57,4642,4212,0.25,Educator,2022-01-03,0.25,0.0,Completed
58,2411,4347,0.25,Co-Educator,2022-01-03,0.08,0.17,Partial
59,5188,4393,1.0,Co-Educator,2022-01-03,0.59,0.41,Partial
60,1021,4245,0.75,Educator,2022-01-03,0.0,0.75,Cancelled
61,1421,4483,0.5,Educator,2022-01-03,0.5,0.0,Completed
62,3486,4161,0.5,Educator,2022-01-03,0.21,0.29,Partial
63,2306,4064,0.25,Co-Educator,2022-01-03,0.0,0.25,Cancelled
64,2796,4097,0.25,Educator,2022-01-03,0.25,0.0,Completed
65,3301,4198,0.75,Educator,2022-01-03,0.0,0.75,Cancelled
66,3724,4164,1.0,Co-Educator,2022-01-03,1.0,0.0,Completed
67,1139,4107,0.5,Educator,2022-01-03,0.5,0.0,Completed
68,4084,4499,0.5,Educator,2022-01-03,0.5,0.0,Completed
69,1379,4031,1.0,Co-Educator,2022-01-03,1.0,0.0,Completed
70,5021,4361,1.0,Co-Educator,2022-01-03,0.0,1.0,Cancelled
71,2646,4398,0.5,Co-Educator,2022-01-03,0.0,0.5,Pending
72,1387,4481,0.25,Educator,2022-01-03,0.1,0.15,Partial
73,1811,4051,0.5,Educator,2022-01-03,0.0,0.5,Cancelled
74,3019,4293,1.0,Educator,2022-01-04,1.0,0.0,Completed
75,1448,4009,0.75,Educator,2022-01-04,0.0,0.75,Cancelled
76,4736,4490,0.5,Co-Educator,2022-01-04,0.0,0.5,Cancelled
77,4902,4421,1.0,Co-Educator,2022-01-04,0.0,1.0,Pending
78,1687,4294,0.25,Co-Educator,2022-01-04,0.25,0.0,Completed
79,2976,4060,1.0,Educator,2022-01-04,0.0,1.0,Cancelled
80,5573,4093,0.75,Educator,2022-01-04,0.36,0.39,Partial
81,2514,4397,1.0,Co-Educator,2022-01-04,0.0,1.0,Pending
82,3420,4070,1.0,Educator,2022-01-04,1.0,0.0,Completed
83,5691,4451,0.25,Educator,2022-01-04,0.25,0.0,Completed
84,2790,4224,1.0,Educator,2022-01-04,0.0,1.0,Cancelled
85,5851,4495,0.75,Co-Educator,2022-01-04,0.0,0.75,Pending
86,4817,4120,1.0,Co-Educator,2022-01-04,0.0,1.0,Cancelled
87,2414,4037,0.75,Co-Educator,2022-01-04,0.0,0.75,Cancelled
88,3382,4024,0.5,Educator,2022-01-04,0.0,0.5,Cancelled
89,5079,4327,0.25,Educator,2022-01-04,0.0,0.25,Cancelled
90,2027,4202,0.5,Educator,2022-01-04,0.0,0.5,Pending
91,1541,4156,0.5,Co-Educator,2022-01-04,0.5,0.0,Completed
92,5633,4032,0.25,Co-Educator,2022-01-04,0.25,0.0,Completed
93,2250,4394,0.5,Co-Educator,2022-01-04,0.36,0.14,Partial
94,2595,4378,0.5,Co-Educator,2022-01-04,0.37,0.13,Partial
95,1738,4383,1.0,Co-Educator,2022-01-04,1.0,0.0,Completed
96,5214,4276,0.25,Co-Educator,2022-01-04,0.1,0.15,Partial
97,1116,4001,0.5,Educator,2022-01-04,0.5,0.0,Completed
98,4843,4005,0.5,Educator,2022-01-04,0.39,0.11,Partial
99,1433,4217,0.25,Co-Educator,2022-01-04,0.25,0.0,Completed
100,3434,4467,0.25,Educator,2022-01-04,0.25,0.0,Completed
101,5860,4176,0.75,Invigilator,2022-01-04,0.75,0.0,Completed
102,5706,4223,0.5,Co-Educator,2022-01-04,0.5,0.0,Completed
103,3139,4321,1.0,Educator,2022-01-04,0.0,1.0,Cancelled
104,5224,4360,1.0,Educator,2022-01-04,1.0,0.0,Completed
105,3064,4330,0.75,Co-Educator,2022-01-04,0.0,0.75,Pending
106,5945,4178,0.25,Educator,2022-01-04,0.25,0.0,Completed
107,3605,4368,0.25,Educator,2022-01-04,0.25,0.0,Completed
108,2030,4130,0.75,Co-Educator,2022-01-04,0.75,0.0,Completed
109,3718,4418,0.5,Co-Educator,2022-01-04,0.5,0.0,Completed
110,1942,4139,0.5,Educator,2022-01-04,0.5,0.0,Completed
111,3899,4155,1.0,Co-Educator,2022-01-04,0.0,1.0,Pending
112,3421,4188,1.0,Co-Educator,2022-01-04,0.0,1.0,Pending
113,3595,4026,0.5,Educator,2022-01-04,0.5,0.0,Completed
114,4161,4254,0.75,Educator,2022-01-04,0.33,0.42,Partial
115,4187,4115,0.5,Educator,2022-01-04,0.0,0.5,Pending
116,4739,4303,0.75,Educator,2022-01-04,0.59,0.16,Partial
117,2695,4010,0.25,Co-Educator,2022-01-04,0.0,0.25,Pending
118,3944,4480,0.5,Educator,2022-01-04,0.37,0.13,Partial
119,4683,4338,0.5,Educator,2022-01-04,0.18,0.32,Partial
120,4036,4442,0.25,Co-Educator,2022-01-04,0.25,0.0,Completed
121,5242,4354,0.25,Co-Educator,2022-01-04,0.25,0.0,Completed
122,3614,4377,0.25,Educator,2022-01-04,0.25,0.0,Completed
123,5898,4198,0.25,Educator,2022-01-04,0.0,0.25,Cancelled
124,4471,4475,0.5,Educator,2022-01-04,0.16,0.34,Partial
125,3694,4019,1.0,Co-Educator,2022-01-04,0.0,1.0,Pending
126,1421,4255,0.25,Educator,2022-01-04,0.17,0.08,Partial
127,4649,4235,0.25,Educator,2022-01-04,0.25,0.0,Completed
128,1604,4122,0.25,Co-Educator,2022-01-04,0.15,0.1,Partial
129,4797,4469,0.5,Educator,2022-01-04,0.34,0.16,Partial
130,5197,4212,1.0,Co-Educator,2022-01-04,1.0,0.0,Completed
131,5355,4169,0.25,Educator,2022-01-05,0.25,0.0,Completed
132,3003,4177,0.25,Co-Educator,2022-01-05,0.25,0.0,Completed
133,1556,4050,1.0,Educator,2022-01-05,0.51,0.49,Partial
134,1982,4128,0.75,Co-Educator,2022-01-05,0.0,0.75,Pending
135,3570,4383,0.25,Co-Educator,2022-01-05,0.16,0.09,Partial
136,5913,4447,0.5,Co-Educator,2022-01-05,0.5,0.0,Completed
137,5484,4122,0.75,Educator,2022-01-05,0.0,0.75,Pending
138,1121,4333,0.5,Co-Educator,2022-01-05,0.0,0.5,Pending
139,5978,4422,0.5,Co-Educator,2022-01-05,0.5,0.0,Completed
140,5996,4160,0.5,Educator,2022-01-05,0.25,0.25,Partial
141,4538,4436,0.25,Co-Educator,2022-01-05,0.25,0.0,Completed
142,1850,4359,0.25,Educator,2022-01-05,0.16,0.09,Partial
143,3085,4487,0.25,Educator,2022-01-05,0.14,0.11,Partial
144,1783,4235,0.25,Co-Educator,2022-01-05,0.25,0.0,Completed
145,5135,4439,0.25,Educator,2022-01-05,0.0,0.25,Cancelled
146,4247,4353,1.0,Co-Educator,2022-01-05,0.0,1.0,Pending
147,5782,4261,1.0,Educator,2022-01-05,1.0,0.0,Completed
148,4073,4416,0.25,Co-Educator,2022-01-05,0.0,0.25,Pending
149,4694,4379,0.25,Educator,2022-01-05,0.0,0.25,Pending
150,1444,4294,0.25,Co-Educator,2022-01-05,0.25,0.0,Completed
151,2346,4352,0.5,Educator,2022-01-05,0.23,0.27,Partial
152,5623,4003,0.75,Co-Educator,2022-01-05,0.75,0.0,Completed
153,3541,4326,0.75,Educator,2022-01-05,0.0,0.75,Pending
154,2861,4074,1.0,Educator,2022-01-05,1.0,0.0,Completed
155,1185,4425,0.5,Co-Educator,2022-01-05,0.0,0.5,Pending
156,1328,4490,0.5,Co-Educator,2022-01-05,0.5,0.0,Completed
157,4710,4493,0.5,Co-Educator,2022-01-05,0.4,0.1,Partial
158,5255,4031,0.25,Co-Educator,2022-01-05,0.12,0.13,Partial
159,2235,4038,0.25,Educator,2022-01-05,0.0,0.25,Cancelled
160,2305,4478,1.0,Co-Educator,2022-01-05,1.0,0.0,Completed
161,4168,4027,1.0,Co-Educator,2022-01-05,0.42,0.58,Partial
162,3469,4144,0.75,Educator,2022-01-05,0.75,0.0,Completed
163,3864,4108,1.0,Educator,2022-01-05,1.0,0.0,Completed
