batch_id,batch_owner,batch_name,track_name,stu_strength
4001,2127,Batch_4001,AI & ML,51
4002,5481,Batch_4002,Data Engineering,28
4003,1721,Batch_4003,Python Full Stack,58
4004,4250,Batch_4004,Data Engineering,29
4005,2563,Batch_4005,Data Engineering,43
4006,4386,Batch_4006,Data Engineering,28
4007,5253,Batch_4007,Python Full Stack,47
4008,5986,Batch_4008,Java Full Stack,33
4009,3797,Batch_4009,DevOps,48
4010,4094,Batch_4010,DevOps,31
4011,2668,Batch_4011,DevOps,55
4012,1601,Batch_4012,Cloud Computing,30
4013,3035,Batch_4013,Java Full Stack,31
4014,4188,Batch_4014,Python Full Stack,54
4015,1099,Batch_4015,Cloud Computing,44
4016,4849,Batch_4016,Python Full Stack,32
4017,2053,Batch_4017,DevOps,38
4018,3763,Batch_4018,AI & ML,54
4019,3817,Batch_4019,Java Full Stack,25
4020,3418,Batch_4020,Cloud Computing,26
4021,4311,Batch_4021,Cloud Computing,31
4022,1148,Batch_4022,AI & ML,41
4023,5005,Batch_4023,AI & ML,57
4024,1004,Batch_4024,Java Full Stack,27
4025,5959,Batch_4025,AI & ML,29
4026,5673,Batch_4026,AI & ML,59
4027,2501,Batch_4027,Cloud Computing,59
4028,1556,Batch_4028,Java Full Stack,57
4029,3555,Batch_4029,Data Engineering,25
4030,3457,Batch_4030,Data Engineering,34
4031,4469,Batch_4031,Java Full Stack,52
4032,1433,Batch_4032,Data Engineering,33
4033,2276,Batch_4033,DevOps,29
4034,4561,Batch_4034,Java Full Stack,49
4035,4475,Batch_4035,Python Full Stack,54
4036,2692,Batch_4036,Data Engineering,38
4037,2166,Batch_4037,AI & ML,53
4038,5173,Batch_4038,Java Full Stack,53
4039,3094,Batch_4039,Data Engineering,57
4040,1367,Batch_4040,AI & ML,35
4041,3990,Batch_4041,DevOps,43
4042,2660,Batch_4042,Cloud Computing,41
4043,3116,Batch_4043,Java Full Stack,33
4044,2597,Batch_4044,Cloud Computing,55
4045,5768,Batch_4045,Cloud Computing,48
4046,1890,Batch_4046,AI & ML,25
4047,1998,Batch_4047,DevOps,49
4048,2805,Batch_4048,Python Full Stack,32
4049,5749,Batch_4049,Python Full Stack,59
4050,4829,Batch_4050,Cloud Computing,36
4051,1557,Batch_4051,Cloud Computing,38
4052,4527,Batch_4052,Python Full Stack,45
4053,4194,Batch_4053,Cloud Computing,33
4054,3507,Batch_4054,DevOps,35
4055,4549,Batch_4055,AI & ML,34
4056,3434,Batch_4056,AI & ML,33
4057,5763,Batch_4057,Python Full Stack,34
4058,3785,Batch_4058,Python Full Stack,60
4059,5339,Batch_4059,Data Engineering,57
4060,5165,Batch_4060,Java Full Stack,52
4061,5056,Batch_4061,Java Full Stack,40
4062,4968,Batch_4062,AI & ML,30
4063,3919,Batch_4063,Data Engineering,60
4064,2855,Batch_4064,AI & ML,38
4065,5160,Batch_4065,Cloud Computing,41
4066,4675,Batch_4066,Cloud Computing,47
4067,2310,Batch_4067,Python Full Stack,39
4068,3842,Batch_4068,Python Full Stack,28
4069,5990,Batch_4069,Cloud Computing,35
4070,5031,Batch_4070,AI & ML,60
4071,4810,Batch_4071,DevOps,34
4072,4217,Batch_4072,Python Full Stack,27
4073,1303,Batch_4073,AI & ML,44
4074,2896,Batch_4074,AI & ML,36
4075,5160,Batch_4075,DevOps,59
4076,1899,Batch_4076,AI & ML,33
4077,2416,Batch_4077,Cloud Computing,30
4078,5075,Batch_4078,Java Full Stack,27
4079,2277,Batch_4079,Data Engineering,59
4080,5703,Batch_4080,Cloud Computing,28
4081,2139,Batch_4081,Cloud Computing,58
4082,1986,Batch_4082,Java Full Stack,59
4083,5309,Batch_4083,Python Full Stack,44
4084,1954,Batch_4084,Java Full Stack,50
4085,2568,Batch_4085,Data Engineering,33
4086,5190,Batch_4086,Data Engineering,27
4087,4126,Batch_4087,Python Full Stack,37
4088,5409,Batch_4088,Java Full Stack,38
