faculty_id,position
1001,Faculty
1001,Coordinator
1001,Batch Owner
1002,Batch Owner
1002,Coordinator
1002,Faculty
1003,Faculty
1004,Coordinator
1004,Faculty
1004,Batch Owner
1005,Batch Owner
1005,Coordinator
1005,Faculty
1006,Coordinator
1006,Faculty
1006,Batch Owner
1007,Faculty
1008,Coordinator
1008,Batch Owner
1008,Faculty
1009,Batch Owner
1009,Coordinator
1009,Faculty
1010,Batch Owner
1011,Faculty
1011,Coordinator
1011,Batch Owner
1012,Coordinator
1012,Faculty
1012,Batch Owner
1013,Batch Owner
1014,Faculty
1014,Batch Owner
1015,Coordinator
1015,Faculty
1016,Coordinator
1016,Batch Owner
1017,Batch Owner
1018,Coordinator
1018,Batch Owner
1019,Faculty
1019,Batch Owner
1020,Faculty
1020,Coordinator
1021,Coordinator
1021,Batch Owner
1022,Batch Owner
1022,Coordinator
1023,Faculty
1023,Coordinator
1024,Faculty
1025,Faculty
1026,Coordinator
1026,Batch Owner
1026,Faculty
1027,Batch Owner
1027,Coordinator
1028,Batch Owner
1028,Faculty
1029,Batch Owner
1029,Faculty
1029,Coordinator
1030,Coordinator
1031,Batch Owner
1031,Coordinator
1031,Faculty
1032,Faculty
1032,Coordinator
1033,Faculty
1033,Coordinator
1033,Batch Owner
1034,Coordinator
1034,Batch Owner
1035,Coordinator
1036,Batch Owner
1036,Coordinator
1037,Batch Owner
1037,Faculty
1038,Coordinator
1039,Batch Owner
1039,Coordinator
1039,Faculty
1040,Faculty
1040,Batch Owner
1041,Coordinator
1041,Faculty
1041,Batch Owner
1042,Batch Owner
1042,Coordinator
1043,Coordinator
1043,Faculty
1044,Batch Owner
1044,Coordinator
1045,Coordinator
1046,Coordinator
1046,Batch Owner
1047,Batch Owner
1047,Faculty
1047,Coordinator
1048,Faculty
1049,Coordinator
1049,Faculty
1050,Coordinator
1050,Faculty
1051,Faculty
1051,Coordinator
1051,Batch Owner
1052,Faculty
1053,Faculty
1053,Coordinator
1054,Coordinator
1055,Faculty
1055,Batch Owner
1056,Coordinator
1057,Faculty
1057,Coordinator
1057,Batch Owner
1058,Batch Owner
1059,Coordinator
1059,Faculty
1059,Batch Owner
1060,Batch Owner
1060,Coordinator
1061,Coordinator
1061,Batch Owner
1062,Batch Owner
1063,Batch Owner
1063,Faculty
1063,Coordinator
1064,Batch Owner
1065,Faculty
1066,Batch Owner
1066,Coordinator
1067,Faculty
1067,Batch Owner
1067,Coordinator
1068,Coordinator
1069,Faculty
1069,Batch Owner
1070,Faculty
1071,Batch Owner
1072,Faculty
1072,Coordinator
1073,Coordinator
1073,Batch Owner
1073,Faculty
1074,Faculty
1074,Coordinator
1074,Batch Owner
1075,Coordinator
1076,Coordinator
1077,Coordinator
1078,Coordinator
1078,Batch Owner
1078,Faculty
1079,Faculty
1080,Faculty
1081,Faculty
1082,Coordinator
1083,Coordinator
1084,Faculty
1084,Batch Owner
1084,Coordinator
1085,Faculty
1086,Batch Owner
1087,Batch Owner
1088,Coordinator
1088,Faculty
1089,Coordinator
1089,Faculty
1089,Batch Owner
1090,Batch Owner
1090,Coordinator
1091,Faculty
1091,Coordinator
1092,Faculty
1092,Coordinator
1092,Batch Owner
1093,Coordinator
1094,Coordinator
1094,Batch Owner
1094,Faculty
1095,Batch Owner
1095,Coordinator
1095,Faculty
1096,Batch Owner
1097,Batch Owner
1098,Faculty
1099,Batch Owner
1099,Faculty
1100,Batch Owner
1101,Faculty
1102,Batch Owner
1102,Faculty
1103,Batch Owner
1103,Coordinator
1104,Batch Owner
1104,Faculty
1105,Coordinator
1105,Batch Owner
1105,Faculty
1106,Batch Owner
1106,Coordinator
1107,Batch Owner
1107,Coordinator
1107,Faculty
1108,Batch Owner
1108,Coordinator
1108,Faculty
1109,Batch Owner
1109,Coordinator
1110,Coordinator
1111,Faculty
1111,Coordinator
1111,Batch Owner
1112,Batch Owner
1113,Batch Owner
1113,Coordinator
1114,Faculty
1114,Coordinator
1114,Batch Owner
1115,Coordinator
1115,Faculty
1116,Faculty
1116,Coordinator
1117,Batch Owner
1117,Faculty
1118,Coordinator
1119,Coordinator
1119,Faculty
1120,Batch Owner
1120,Faculty
1121,Batch Owner
1122,Batch Owner
1122,Faculty
1122,Coordinator
1123,Batch Owner
1124,Coordinator
1124,Batch Owner
1124,Faculty
1125,Faculty
1125,Coordinator
1125,Batch Owner
1126,Coordinator
1126,Batch Owner
1127,Faculty
1127,Coordinator
1128,Coordinator
1129,Faculty
1129,Batch Owner
1129,Coordinator
1130,Batch Owner
1130,Coordinator
1131,Coordinator
1131,Batch Owner
1132,Batch Owner
1132,Faculty
1133,Coordinator
1133,Batch Owner
1134,Batch Owner
1134,Faculty
1135,Batch Owner
1136,Batch Owner
1137,Faculty
1138,Coordinator
1138,Faculty
1139,Coordinator
1139,Faculty
1140,Faculty
1141,Faculty
1141,Coordinator
1142,Faculty
1143,Coordinator
1143,Batch Owner
1144,Faculty
1144,Coordinator
1144,Batch Owner
1145,Coordinator
1146,Coordinator
1146,Faculty
1147,Coordinator
1147,Faculty
1147,Batch Owner
1148,Faculty
1148,Coordinator
1149,Coordinator
1150,Coordinator
1150,Faculty
1150,Batch Owner
1151,Faculty
1151,Coordinator
1151,Batch Owner
1152,Coordinator
1152,Batch Owner
1153,Faculty
1153,Coordinator
1154,Coordinator
1155,Faculty
1156,Batch Owner
1156,Coordinator
1156,Faculty
1157,Coordinator
1157,Batch Owner
1157,Faculty
1158,Batch Owner
1158,Faculty
1158,Coordinator
1159,Faculty
1159,Coordinator
1159,Batch Owner
1160,Coordinator
1160,Batch Owner
1161,Batch Owner
1161,Coordinator
1162,Batch Owner
1163,Faculty
1163,Batch Owner
1163,Coordinator
1164,Faculty
1165,Faculty
1165,Coordinator
1166,Batch Owner
1166,Coordinator
1167,Faculty
1168,Faculty
1169,Batch Owner
1169,Coordinator
1170,Faculty
1170,Batch Owner
1170,Coordinator
1171,Batch Owner
1172,Coordinator
1172,Batch Owner
1172,Faculty
1173,Batch Owner
1173,Faculty
1173,Coordinator
1174,Faculty
1175,Coordinator
1176,Faculty
1176,Coordinator
1177,Faculty
1177,Coordinator
1178,Faculty
1178,Coordinator
1178,Batch Owner
1179,Faculty
1180,Coordinator
1180,Faculty
1181,Faculty
1181,Coordinator
1182,Faculty
1182,Coordinator
1183,Faculty
1184,Faculty
1185,Batch Owner
1186,Coordinator
1186,Faculty
1187,Faculty
1188,Faculty
1189,Batch Owner
1190,Faculty
1191,Batch Owner
1191,Faculty
1191,Coordinator
1192,Coordinator
1193,Batch Owner
1193,Faculty
1193,Coordinator
1194,Faculty
1195,Batch Owner
1196,Faculty
1197,Faculty
1197,Coordinator
1198,Faculty
1198,Coordinator
1198,Batch Owner
1199,Coordinator
1199,Batch Owner
1200,Coordinator
1201,Coordinator
1201,Batch Owner
1201,Faculty
1202,Coordinator
1203,Faculty
1203,Coordinator
1203,Batch Owner
1204,Batch Owner
1205,Batch Owner
1205,Faculty
1206,Coordinator
1206,Faculty
1207,Faculty
1208,Faculty
1209,Batch Owner
