faculty_id,artifact_id,count
3662,203,3
1938,204,4
1960,202,1
5892,201,1
5918,202,2
4390,203,4
5547,202,1
3945,203,1
2263,201,3
2927,202,1
5563,205,2
5944,204,4
2791,202,4
2083,201,2
5510,201,1
4734,205,1
3454,201,1
1311,204,1
3795,204,5
4195,204,2
4744,202,3
3035,204,1
1207,203,4
4033,205,4
2443,204,2
2434,204,4
5975,201,5
1352,205,4
4013,204,2
5164,205,5
2649,201,3
1294,201,3
1562,202,5
5906,204,4
3872,205,5
3969,204,5
4875,202,5
1945,202,3
3711,205,1
3324,202,3
1551,205,2
2572,203,4
1104,203,2
5223,204,2
2748,205,2
4107,201,1
5762,202,4
1931,203,4
1486,201,4
1953,202,4
1782,205,2
3496,201,1
5886,203,3
4956,204,2
3514,201,2
4404,203,2
5562,202,3
3334,203,3
2041,204,3
5716,205,4
3276,205,1
4150,203,5
3084,205,3
3784,203,1
3909,205,2
5255,202,2
2576,202,3
2260,204,2
4906,205,3
3885,202,5
4808,205,2
5823,203,2
5302,204,2
2451,202,5
1457,205,3
5626,205,5
5250,202,3
4846,201,2
3975,203,1
5699,201,1
5709,201,5
3486,201,2
4269,201,2
3184,202,5
1648,201,3
4912,202,5
3582,205,4
5497,201,3
3836,203,2
3753,203,1
3004,202,4
5757,202,3
3459,203,2
4196,202,4
2426,203,2
5971,204,3
2299,204,5
5993,203,3
5014,205,5
4877,203,2
4332,204,4
4962,202,3
2552,202,3
1510,205,5
5420,205,5
2025,204,3
2342,203,5
3712,201,1
5833,205,4
1125,203,3
4437,205,5
5522,201,3
1707,201,4
1698,201,3
5564,201,2
5079,201,2
1941,205,5
2525,205,2
3153,202,3
3737,205,5
2485,204,4
2617,201,5
3014,204,5
3175,202,5
4898,202,1
4375,205,4
3269,202,4
1723,202,3
3540,202,3
2695,205,5
4526,204,4
5395,204,5
5574,205,3
3005,203,3
4948,203,2
4613,203,2
1885,205,3
2241,203,4
2588,204,4
5151,204,1
1438,201,1
3907,204,2
1803,205,3
2741,203,4
3565,204,5
5702,205,5
3909,205,1
3258,203,1
1425,205,2
2506,205,5
3996,204,4
5015,205,2
5685,204,2
5171,204,2
5739,204,3
4624,203,2
2122,201,1
5906,202,1
2040,204,1
3200,203,5
2399,202,4
5031,201,2
3637,204,3
4594,202,3
3396,205,4
1522,201,5
3872,203,5
5616,201,3
1477,204,5
4294,202,4
2230,201,1
2798,202,1
5249,204,5
3204,204,1
5609,205,3
3015,202,2
4074,204,5
3092,204,5
5185,205,2
4706,203,4
3639,203,5
4773,202,1
3277,202,4
4366,203,1
1236,203,5
2413,205,1
5254,201,1
5864,204,5
5334,204,5
5054,204,2
3248,201,3
4973,203,2
5866,203,4
2114,201,4
3939,204,1
3447,201,1
4469,202,4
5963,202,1
1483,202,1
5250,201,5
1831,205,4
2894,202,5
1327,201,1
5382,202,4
5529,202,4
3907,203,3
2751,201,3
1889,201,5
1260,204,4
4382,201,4
1597,202,5
5022,201,2
3152,203,5
1834,202,3
4873,201,4
4825,201,3
4490,203,4
4618,203,5
4716,205,2
2043,203,1
4325,205,4
5415,201,5
4068,203,4
5934,202,5
4109,203,2
5725,201,2
2750,203,1
1052,204,5
2975,202,5
