faculty_id,total_artifacts
5518,11
1088,18
3997,13
1645,11
1580,16
5803,4
4900,16
1238,10
2866,19
3749,12
5300,18
3175,5
4818,14
5156,5
2122,8
1959,9
2659,9
2142,12
4519,1
1591,6
4101,16
1342,5
3918,2
2366,7
1025,9
2580,23
1721,12
2811,26
1990,4
5614,20
1084,14
1507,11
4219,10
3698,13
3179,5
2235,7
4161,6
2999,11
1460,10
1127,14
1483,9
4929,8
3475,5
2387,11
1395,14
1522,3
4158,7
2563,5
1699,17
5071,14
1139,21
1143,8
1650,7
5173,5
2776,16
2711,11
5287,7
4391,12
1303,22
5984,10
5117,1
4489,5
3761,17
1270,6
1903,11
2996,8
2572,4
1618,4
2393,2
5345,7
1339,6
3000,25
3488,8
3213,10
1322,8
1352,10
3704,7
3352,7
2821,5
1884,11
4684,5
5308,6
3876,9
2488,29
4239,14
4364,10
3098,15
4186,12
5155,12
2443,19
4042,6
2525,9
3490,11
2721,16
2748,10
5223,4
3220,7
1975,15
3089,6
2923,3
3796,7
3986,8
4937,17
2231,9
4078,3
5482,3
5074,2
2259,2
4000,19
5740,6
5433,11
3377,12
1223,8
4307,10
2656,15
2249,21
2655,20
5157,18
2924,6
5695,20
2392,2
3913,7
4294,8
5697,14
3561,24
4957,15
3566,11
5217,14
2833,16
2096,15
1977,13
3425,8
3834,4
5513,10
2622,10
4383,6
5682,10
5578,4
2156,19
2914,6
1157,18
2247,8
2802,19
5110,10
5527,13
4477,14
4092,16
4357,15
3790,19
2559,9
3105,13
3042,13
5995,10
3028,2
3631,4
5847,3
5061,16
5929,5
1787,11
3062,15
4799,7
5100,6
4838,9
3306,15
1888,8
2542,3
5670,7
4396,14
4612,19
3242,11
1466,24
2035,7
1766,6
4583,1
4097,10
2238,5
5178,11
1718,4
5140,4
2874,6
4859,9
3691,3
1133,7
5949,2
3703,8
5030,7
5920,18
1005,13
2396,17
4697,8
5867,12
3577,14
2848,10
1016,13
3657,2
4624,9
4167,4
5211,14
5692,10
1808,7
5457,5
4259,9
5427,13
5222,4
4119,6
2479,14
4126,6
3149,6
2625,23
2971,13
4725,13
4512,4
5543,6
1160,9
5934,2
2564,2
4061,2
4762,9
1417,13
2797,25
1199,11
4798,7
4401,5
5571,5
4782,1
5916,21
5235,12
2835,18
4923,9
4713,9
1468,5
5383,15
2513,15
4474,7
5375,10
4796,18
1653,6
3441,3
5298,8
2173,3
3601,6
1743,11
1212,10
2606,13
3661,18
3431,8
5827,8
3844,6
3124,13
4773,8
2739,7
3843,4
1863,8
1331,10
1561,3
1700,11
4452,11
2294,11
5962,5
1525,12
5605,6
3436,9
4517,6
1924,5
4172,7
1404,5
4263,7
2225,16
1068,11
1344,21
2200,10
5417,9
2888,6
1198,10
4321,11
1675,7
2663,13
1537,6
5367,9
5038,7
3152,3
4132,1
3235,1
1165,3
4153,16
4992,13
1378,12
3043,9
1183,11
4181,13
5926,19
3198,10
1745,7
2771,10
1823,9
4917,14
1500,19
4865,15
5918,6
2261,7
4683,13
2907,11
2342,6
2003,8
5597,6
4415,1
3936,7
5585,11
4169,6
1226,3
2484,19
5151,12
1869,11
4088,4
4293,6
4637,8
2007,17
4896,18
3313,5
3008,11
1259,5
5785,4
2662,14
5447,5
5490,13
3026,19
5452,26
5699,10
3538,4
5055,6
2212,19
5254,1
3611,4
4326,15
2180,12
1175,16
1441,10
5936,8
2209,13
1892,21
5152,2
5981,15
2683,17
4443,17
4208,12
2463,11
3234,6
3685,5
1201,5
2522,3
3841,12
2079,5
5961,9
1426,12
3445,11
4958,10
2052,6
1496,1
2313,3
1031,7
2018,9
4083,4
1415,8
4482,18
4829,18
1621,7
1051,5
3485,20
2355,10
2583,10
1274,6
2044,15
5592,21
4155,17
3650,9
1510,10
5119,20
4230,13
2905,13
3885,7
4424,2
1296,5
2842,3
1243,1
4826,3
3706,12
1034,15
1064,10
5188,9
2778,15
5930,25
4848,2
5884,8
2349,6
1489,13
1772,14
2962,5
1974,7
1826,6
5337,14
1752,11
5552,3
5880,15
3582,12
2945,1
2682,13
5845,3
1163,5
4107,5
5895,14
3151,12
1030,2
1156,5
3296,21
1276,3
5663,27
1307,4
5854,4
4925,13
3626,9
5691,4
3403,6
2094,14
4843,17
2697,8
4229,9
3795,3
2015,7
5028,1
1708,14
2752,3
4858,9
3624,7
2240,3
1574,3
3127,2
5505,14
1816,14
4256,12
3264,21
1871,8
3346,5
5562,13
5040,15
5756,18
3725,13
2678,6
5651,13
2526,13
3435,21
3166,2
1480,12
2871,13
3013,8
5006,6
4695,5
5965,10
1372,2
3941,8
2032,6
5642,6
1889,4
4700,13
2467,5
3595,1
2758,5
2023,5
4777,5
3811,9
3211,15
3743,7
3270,2
5066,5
2610,20
5586,14
5396,10
5993,8
2754,18
5212,9
1493,21
4758,2
2857,2
1634,11
2335,15
3133,5
1235,5
4774,6
3411,8
2439,6
5875,1
2650,5
5758,4
2750,2
2189,9
5037,12
1927,15
4408,20
4919,11
4830,15
3072,8
1269,12
3387,9
5258,14
5024,9
5823,24
1019,4
4866,4
5647,5
4876,12
5123,4
2047,1
2331,4
5160,4
4538,3
4199,12
3183,9
4267,7
3783,8
3370,10
2169,11
2738,19
3287,16
3017,7
5219,12
5405,9
1418,14
3922,17
2322,23
3744,10
3528,12
3669,8
5852,15
1875,5
5214,12
2644,1
5606,1
3666,13
3123,1
3069,3
2727,8
1877,9
5708,14
1148,19
1689,13
1280,1
2076,7
1759,5
4036,14
4547,12
5892,28
1210,8
1363,14
2809,13
5480,6
4209,5
1955,4
2601,13
2371,2
5768,3
3010,20
3727,6
1866,8
5448,8
3587,7
1771,1
2804,5
4025,1
1056,19
3512,4
4899,8
2323,7
3279,17
5080,6
4104,1
3173,28
2069,10
3258,7
2497,13
3284,17
4368,15
4200,4
2629,6
5142,4
3972,13
3456,6
4286,12
5238,5
1085,5
2595,10
1890,12
2062,9
4610,14
2198,2
2496,3
1873,8
4240,3
3207,17
1093,9
2531,5
1046,28
2939,13
5087,10
3196,12
4874,7
2236,4
3328,9
3548,26
2409,20
1260,13
2228,6
4523,3
5322,20
4305,13
4317,14
2723,17
4144,13
4198,8
3741,2
1838,14
5105,9
3353,13
2701,13
5841,9
3500,9
3083,4
5307,12
2675,9
3990,9
4446,16
3325,6
5465,11
5328,15
2006,7
2090,13
2920,14
3171,14
2684,1
5003,10
5422,29
3792,9
4394,7
2692,7
3679,12
3116,6
2680,4
1769,6
3859,9
4033,10
3076,2
3037,5
5374,20
3912,19
4669,10
5886,6
4617,1
3621,7
5062,18
5897,6
1208,4
3519,7
3865,16
2168,4
3502,3
4910,15
4591,9
2753,12
1775,2
3711,18
2975,18
4653,10
4397,10
3216,8
1564,4
1077,3
1659,1
2022,6
5765,19
4363,13
5333,12
1777,6
4227,3
2502,10
4014,3
5370,3
5843,12
4526,4
1820,7
3891,3
1290,10
3184,20
2255,13
4994,14
2772,8
3450,12
1925,3
2113,6
2726,3
4823,11
5190,5
2227,20
1908,21
1582,12
2237,7
4457,15
1215,11
4389,1
5112,8
3963,17
3071,2
3814,13
2789,5
3546,20
4070,9
4989,3
2668,3
2961,3
3239,4
4177,2
1324,6
3673,18
1565,15
3240,6
3108,3
4090,13
2031,12
1249,11
3886,16
5932,8
3586,13
4323,13
1804,9
3654,11
4720,9
2532,5
5905,9
3180,4
1824,16
4120,3
4387,1
4837,6
3888,5
2288,2
1550,13
3200,26
1295,11
5320,14
1961,9
4203,7
5953,15
2725,9
1886,3
5213,15
2407,4
4606,11
4403,5
1125,1
2521,2
1469,23
4788,6
1332,2
2242,15
4718,8
1848,16
1796,7
1731,11
5302,4
5282,5
1065,4
4429,2
3579,3
2013,8
3728,13
4521,14
3975,17
4280,11
4028,8
5025,22
1583,8
2517,13
5660,7
5568,10
2828,6
5500,3
3689,10
4251,1
1291,7
1176,4
4726,11
4727,15
4386,12
5099,22
5516,1
5042,13
2042,10
2774,11
1633,10
5828,11
3390,6
2414,8
1506,11
5633,10
2148,5
3482,7
4376,9
3884,12
2724,4
1588,17
5786,8
5678,10
4530,13
4040,4
4882,22
4426,9
3276,6
3991,12
1061,8
5787,10
5524,14
3920,5
2791,21
3670,10
2609,18
2757,2
2607,10
5346,8
2896,24
1942,8
5102,9
1197,11
2404,7
3222,13
5655,7
1785,14
4568,26
4018,8
3504,8
4784,9
5442,2
2181,13
2628,14
3495,14
3862,3
3132,9
5084,11
1505,1
4459,8
1729,4
5478,6
3817,4
4277,8
3140,11
4076,4
4851,9
1477,6
2284,9
3818,5
5640,11
4384,7
2612,16
4481,4
5388,4
5090,17
3045,8
2192,9
3567,6
5755,14
2064,9
5182,13
1207,10
1944,16
2638,4
1456,1
2549,9
3144,14
2051,6
1939,19
5838,7
5620,6
4642,5
5361,11
5335,21
1613,12
4698,1
2306,2
1300,27
5162,23
1055,9
3498,8
3904,7
1899,14
1244,6
1425,9
2998,10
4756,16
2038,8
3293,5
2398,11
4498,13
2619,13
2109,4
2037,9
4032,5
4507,4
3734,12
4822,8
5309,16
3336,10
4327,6
1206,6
2582,8
3857,11
3721,10
2466,8
3104,3
2056,8
2829,17
4828,5
4246,6
5286,4
5547,4
1114,9
5868,12
4604,5
3919,3
5593,5
2312,16
5609,9
2898,5
1586,10
1512,17
2045,14
2616,9
3379,8
5334,12
4185,4
5129,14
1599,17
3349,13
2092,10
5354,12
4469,3
2882,3
4893,18
1694,7
1786,4
4641,5
3940,7
5365,6
1311,12
2082,8
1723,10
5595,12
5639,13
5344,5
3029,2
5018,15
2219,16
2647,11
5450,7
2339,15
3095,11
1306,13
2108,13
1288,8
2483,4
5285,3
3753,5
2886,8
2840,6
1626,10
1681,9
5315,11
3073,5
5947,14
2635,5
3261,6
2796,19
4435,5
4451,18
3976,10
5245,13
1382,10
4162,7
1170,5
1590,12
3956,13
4987,4
4524,1
3020,4
3121,9
5303,1
2191,2
3927,7
1488,20
3206,7
3970,1
3923,10
3421,8
1145,31
4766,6
5306,18
5624,4
3798,7
5047,18
2760,8
1304,20
3636,8
4111,13
1122,13
1247,5
1491,11
4898,13
5879,15
3752,17
4428,8
4174,3
4663,5
2329,7
4472,4
2320,3
5499,11
3819,16
4786,7
1595,16
1664,17
3283,12
2781,6
2239,14
4842,6
3025,9
5959,11
2054,7
4561,20
4515,4
5864,5
3449,7
5611,7
3826,18
2941,14
1802,5
4102,2
2614,2
4973,8
1773,1
3648,3
1172,12
4338,8
5811,12
2957,11
4041,2
2786,13
3452,8
4931,19
4311,7
5192,26
2775,16
3282,11
3059,11
1008,9
1391,8
5763,7
5960,3
3125,6
3208,9
1504,3
1516,1
3030,7
5900,8
3060,15
2138,16
4312,9
3622,2
5819,5
3593,6
1485,11
1302,8
1812,25
3570,7
5968,4
3861,7
5791,8
4315,18
5950,9
2364,5
5496,2
2763,8
4475,7
4464,5
1683,11
3147,3
4466,14
2183,7
2475,15
1902,7
3774,5
1798,13
5599,15
4438,13
5204,18
5255,10
3162,11
1651,5
5122,10
4569,10
1190,15
2600,8
3541,14
2155,5
1427,5
5341,10
4614,15
5539,3
2637,13
2603,17
1458,4
4349,10
5097,11
1400,8
3453,4
1546,8
5761,5
4680,7
3058,23
1722,8
5114,18
3210,10
2256,10
1616,18
4775,5
3607,9
3987,1
3172,8
5588,15
1473,12
1434,6
2363,21
4688,3
2344,11
2575,9
2698,21
4093,3
3754,8
1922,15
5077,16
4325,9
2989,6
2170,3
3474,4
2633,1
3192,4
5000,8
3111,1
4450,4
1323,11
3978,9
4936,2
2059,6
5649,4
4304,15
2380,15
3032,4
4877,6
4757,13
3197,10
1644,24
2213,14
5144,9
5231,17
1822,14
1137,14
4288,7
1399,12
5621,11
1608,12
5082,12
2768,5
3272,7
1770,5
2318,12
3484,11
2383,11
4297,27
4487,7
2455,11
2337,19
1663,13
5590,4
4016,13
3572,11
4151,11
5992,6
2471,10
1682,13
2956,16
3786,5
5612,4
2536,4
5193,5
3231,9
1089,15
4030,17
2102,15
1100,12
5281,25
5398,11
5967,12
2281,18
2433,13
2210,8
1367,20
1155,12
4977,15
5343,2
4420,9
2685,11
3720,2
1267,14
4365,5
5158,18
2520,18
5770,7
2911,7
4220,17
4570,11
4565,14
2699,7
5234,11
4672,9
5382,1
2470,7
4914,14
5167,5
5001,9
4966,10
1952,2
5777,7
3813,4
5016,5
5004,12
1082,11
2877,19
1062,11
3549,12
3908,11
4091,16
1218,8
5357,12
1242,12
3509,19
4806,8
3700,12
2481,8
1749,3
5676,6
5230,4
3602,9
5056,5
2879,9
2537,8
4202,13
4013,9
4588,5
5701,17
1380,16
2196,7
4738,7
3340,5
3645,8
2597,7
1834,2
2422,1
1130,10
5983,9
4993,5
5862,9
1646,14
5359,13
3413,3
3890,22
5325,7
2292,7
1783,6
3893,6
5031,15
4831,8
1956,2
5381,6
3659,14
1934,16
5790,10
1627,9
5871,10
1410,3
3557,6
2852,3
4944,4
2831,5
3925,16
2686,18
3115,20
4094,7
1997,27
5724,3
4347,4
5120,6
5520,4
3983,8
3708,13
2577,4
3195,12
4729,6
1988,6
3667,5
3415,12
5933,17
3167,10
2391,15
1636,6
4681,1
1275,2
2161,7
3314,3
4645,3
5971,10
2729,5
5445,21
2326,12
2193,5
5914,6
2351,2
5339,16
1171,11
4355,4
4905,3
1349,3
3764,9
3793,10
5538,4
1353,12
4620,8
1461,14
5485,7
4644,4
3419,13
4352,3
2880,13
5247,8
5444,12
2736,11
1994,11
5577,4
4991,9
3539,24
4258,6
1444,7
2681,6
5338,12
1144,13
2071,9
5461,2
2026,3
5424,1
2519,4
4012,4
2808,3
3497,17
4314,24
5237,20
5373,1
2185,12
4279,12
4510,13
2837,13
4995,14
2695,11
4807,2
1670,6
5887,1
2712,14
3625,10
3439,14
5564,7
1021,3
3791,4
1245,3
4639,4
4564,2
1335,1
3690,15
5551,6
1394,27
1301,5
5591,14
2560,9
5510,9
4118,18
3120,5
4176,12
5206,13
4615,3
5440,19
4001,3
3863,8
3067,9
3529,9
1455,10
5937,2
4504,3
4074,8
2867,7
1273,3
5817,8
4038,2
2489,14
3489,14
1628,4
3699,14
3709,2
2343,14
1026,4
2653,10
2885,6
5553,8
5324,11
5492,3
3399,7
2384,5
5246,5
1074,5
5948,5
1467,12
1818,4
2405,12
2694,5
1968,11
5467,7
1113,9
2782,9
4781,7
5541,9
4166,3
2666,8
3871,9
3932,5
5274,23
2464,4
3613,9
4852,11
4820,9
1251,14
1517,13
3996,11
4157,8
3269,12
4846,7
3388,11
5507,6
1069,11
1146,11
4356,6
2177,13
3324,3
3649,2
2651,4
4603,3
3506,3
1499,6
3730,5
4136,7
1917,16
2014,14
4631,23
5555,16
3858,9
3309,12
5148,9
1028,10
4928,10
3757,4
3810,4
4692,6
3209,4
1781,12
4221,8
3969,6
2232,4
3856,5
5225,1
3827,5
2779,5
4399,4
4425,10
5086,9
2613,2
4557,5
3534,18
2245,1
5103,3
5039,25
