coord_id,faculty_id,batch_id,session_date,session_allocated,role
2001,2737,4084,2026-04-06,0.25,Co-Educator
2002,2621,4084,2025-10-06,0.5,Co-Educator
2003,3072,4053,2026-01-25,1.0,Educator
2004,1960,4290,2025-11-19,0.5,Invigilator
2005,1582,4038,2026-03-17,0.25,Educator
2006,1285,4392,2025-11-30,0.5,Educator
2007,1180,4171,2025-06-27,0.75,Invigilator
2008,4053,4246,2026-01-07,0.25,Co-Educator
2009,1751,4252,2025-06-05,0.25,Invigilator
2010,3409,4290,2025-12-01,0.5,Co-Educator
2011,4743,4385,2026-05-08,0.25,Invigilator
2012,4930,4434,2026-02-28,0.5,Co-Educator
2013,5435,4331,2025-08-06,0.5,Educator
2014,2589,4266,2025-05-23,0.75,Invigilator
2015,2931,4198,2026-05-04,0.75,Invigilator
2016,2884,4226,2025-06-27,0.25,Co-Educator
2017,4312,4307,2026-05-06,0.75,Educator
2018,4050,4401,2026-01-29,0.75,Educator
2019,3543,4229,2026-03-25,0.75,Co-Educator
2020,3667,4365,2025-07-02,0.25,Educator
2021,3445,4107,2025-07-11,0.25,Invigilator
2022,5953,4160,2026-02-23,1.0,Co-Educator
2023,1150,4498,2025-11-07,0.75,Co-Educator
2024,1018,4402,2025-12-30,1.0,Invigilator
2025,4746,4431,2025-10-02,0.25,Educator
2026,1140,4232,2026-01-11,0.25,Invigilator
2027,4961,4434,2025-06-01,1.0,Invigilator
2028,4714,4421,2026-04-29,1.0,Co-Educator
2029,1809,4263,2025-10-23,0.5,Co-Educator
2030,2208,4162,2025-11-23,0.5,Co-Educator
2031,5308,4028,2025-11-29,0.0,Co-Educator
2032,2129,4465,2025-07-29,0.5,Educator
2033,1334,4219,2025-06-01,0.5,Educator
2034,4954,4434,2025-11-03,1.0,Co-Educator
2035,1669,4194,2025-12-22,0.75,Co-Educator
2036,1060,4289,2025-11-12,0.75,Invigilator
2037,3334,4466,2025-05-09,0.75,Co-Educator
2038,2523,4027,2025-07-09,0.25,Educator
2039,5426,4030,2025-06-22,0.5,Invigilator
2040,1440,4149,2025-06-18,0.25,Invigilator
2041,4170,4088,2026-01-23,0.25,Educator
2042,4090,4279,2025-06-19,1.0,Co-Educator
2043,1757,4007,2025-11-10,0.5,Invigilator
2044,5242,4071,2026-02-27,0.5,Educator
2045,5651,4222,2025-09-08,1.0,Co-Educator
2046,2407,4407,2025-07-05,0.25,Educator
2047,4144,4495,2026-04-17,0.75,Co-Educator
2048,3954,4335,2025-06-12,0.5,Educator
2049,5211,4117,2025-05-24,0.5,Educator
2050,5062,4116,2025-06-24,0.5,Invigilator
2051,3662,4286,2026-03-09,0.25,Co-Educator
2052,3955,4303,2025-08-23,0.25,Co-Educator
2053,3175,4307,2026-03-17,0.5,Invigilator
2054,3060,4415,2025-06-30,0.25,Co-Educator
2055,3023,4495,2025-09-30,1.0,Educator
2056,4617,4486,2025-06-25,0.5,Invigilator
2057,2006,4118,2026-04-03,0.5,Invigilator
2058,4680,4266,2025-10-28,1.0,Co-Educator
2059,5835,4001,2025-05-30,0.0,Educator
2060,2821,4420,2025-05-29,0.75,Co-Educator
2061,1281,4018,2026-05-03,0.5,Educator
2062,1052,4250,2026-02-11,0.75,Invigilator
2063,1561,4117,2025-05-15,0.75,Educator
2064,4647,4126,2025-07-27,0.75,Educator
2065,5430,4143,2025-10-22,0.75,Invigilator
2066,5442,4024,2025-08-01,0.25,Educator
2067,1574,4390,2025-08-17,0.5,Educator
2068,4909,4453,2025-09-09,0.25,Educator
2069,1684,4368,2026-03-26,0.75,Co-Educator
2070,1043,4323,2026-03-27,0.75,Co-Educator
2071,4536,4458,2025-10-10,1.0,Co-Educator
2072,5288,4031,2026-02-02,0.5,Educator
2073,2638,4158,2026-04-14,0.75,Invigilator
2074,1330,4381,2026-01-30,1.0,Co-Educator
2075,1106,4273,2025-11-04,0.25,Educator
2076,2402,4057,2025-08-26,0.25,Educator
2077,3944,4083,2026-01-01,0.25,Educator
2078,3572,4487,2026-02-18,0.5,Invigilator
2079,2337,4091,2025-08-14,0.25,Invigilator
2080,4042,4250,2026-04-17,1.0,Co-Educator
2081,4278,4475,2025-09-10,0.25,Invigilator
2082,5721,4418,2026-05-05,0.75,Invigilator
2083,4333,4072,2026-01-10,0.75,Educator
2084,3443,4489,2025-12-05,1.0,Co-Educator
2085,4947,4007,2025-12-24,0.25,Educator
2086,2329,4094,2025-05-11,0.25,Educator
2087,2853,4159,2025-07-05,0.75,Co-Educator
2088,4925,4264,2026-02-13,0.5,Educator
2089,5682,4357,2025-07-28,0.5,Co-Educator
2090,1566,4390,2025-10-19,1.0,Co-Educator
2091,5737,4014,2026-02-26,0.5,Co-Educator
2092,5335,4281,2026-04-30,0.25,Co-Educator
2093,2613,4096,2026-01-15,0.0,Co-Educator
2094,2822,4118,2026-04-02,0.5,Co-Educator
2095,2960,4075,2025-10-10,0.5,Co-Educator
2096,2915,4351,2026-02-22,0.5,Invigilator
2097,4920,4315,2026-01-29,0.5,Co-Educator
2098,1300,4464,2025-08-11,1.0,Invigilator
2099,2101,4326,2026-01-30,0.5,Co-Educator
2100,2014,4298,2025-06-14,0.5,Co-Educator
2101,3833,4485,2025-07-30,0.75,Invigilator
2102,1985,4204,2025-06-15,0.5,Co-Educator
2103,2231,4398,2025-10-28,0.5,Educator
2104,4011,4419,2026-01-13,0.25,Educator
2105,2675,4475,2026-01-01,0.75,Co-Educator
2106,3679,4385,2025-09-18,1.0,Educator
2107,4521,4081,2026-03-28,1.0,Co-Educator
2108,3992,4152,2026-01-26,1.0,Invigilator
2109,1888,4305,2025-08-13,0.25,Invigilator
2110,4664,4298,2026-02-07,0.75,Co-Educator
2111,2352,4198,2026-01-22,0.75,Educator
2112,4908,4020,2026-05-06,0.75,Educator
2113,2617,4253,2026-02-04,0.75,Invigilator
2114,1415,4283,2026-04-29,0.75,Educator
2115,4563,4178,2025-07-21,0.0,Invigilator
2116,5638,4159,2025-07-26,0.5,Educator
2117,1008,4460,2025-10-27,0.5,Co-Educator
2118,2186,4433,2025-09-07,1.0,Educator
2119,1167,4482,2025-06-10,0.5,Invigilator
2120,1554,4127,2025-12-20,1.0,Invigilator
2121,1624,4348,2025-10-09,0.25,Co-Educator
2122,4439,4092,2025-05-26,0.5,Educator
2123,3096,4404,2025-05-14,0.5,Co-Educator
2124,5591,4242,2025-10-23,0.5,Co-Educator
2125,3214,4437,2025-12-24,0.75,Educator
2126,3765,4117,2025-11-26,0.25,Co-Educator
2127,3821,4091,2025-11-05,0.75,Educator
2128,4666,4304,2025-11-28,0.75,Co-Educator
2129,4151,4015,2025-12-24,0.25,Educator
2130,1354,4422,2026-03-29,0.25,Educator
2131,4404,4163,2026-04-27,0.25,Co-Educator
2132,2562,4297,2025-11-08,1.0,Co-Educator
2133,5422,4370,2026-05-02,0.75,Co-Educator
2134,1611,4218,2025-06-30,0.75,Invigilator
2135,2169,4407,2025-05-19,1.0,Invigilator
2136,5869,4180,2026-02-14,1.0,Co-Educator
2137,2517,4440,2026-04-04,0.25,Educator
2138,3056,4025,2026-03-12,0.25,Invigilator
2139,4219,4183,2026-04-28,1.0,Invigilator
2140,4876,4021,2025-12-07,0.5,Co-Educator
2141,4141,4385,2025-08-28,0.5,Educator
2142,2260,4315,2026-03-13,1.0,Co-Educator
2143,2725,4419,2025-06-18,0.25,Co-Educator
2144,3627,4124,2026-01-31,0.75,Co-Educator
2145,4138,4148,2026-01-03,0.5,Co-Educator
2146,2820,4267,2026-03-30,0.75,Educator
2147,2866,4387,2025-11-25,1.0,Educator
2148,4560,4282,2025-09-20,0.25,Co-Educator
2149,2038,4086,2026-03-19,0.5,Educator
2150,4218,4007,2025-12-03,0.75,Co-Educator
2151,2362,4058,2025-12-01,0.75,Educator
2152,4957,4032,2026-05-03,1.0,Educator
2153,1723,4384,2026-05-02,0.75,Co-Educator
2154,1841,4164,2025-06-30,0.5,Invigilator
2155,5214,4052,2025-12-04,0.25,Co-Educator
2156,1646,4326,2026-04-03,0.5,Co-Educator
2157,3145,4013,2025-05-13,1.0,Invigilator
2158,3435,4080,2025-07-08,1.0,Educator
2159,1335,4414,2025-06-07,0.5,Invigilator
2160,2893,4226,2025-06-03,0.5,Co-Educator
2161,1567,4099,2025-12-07,0.25,Co-Educator
2162,2932,4079,2025-09-28,0.25,Invigilator
2163,1300,4370,2025-09-06,0.5,Invigilator
2164,2257,4240,2025-12-25,0.75,Invigilator
2165,2074,4319,2026-02-24,0.75,Co-Educator
2166,2825,4029,2025-07-19,0.25,Co-Educator
2167,5930,4171,2025-06-29,0.5,Educator
2168,4531,4065,2026-04-12,0.5,Co-Educator
2169,5636,4039,2025-05-20,0.75,Co-Educator
2170,4722,4235,2026-03-04,0.75,Educator
2171,3862,4005,2025-09-13,0.75,Co-Educator
2172,5246,4092,2026-02-17,0.5,Educator
2173,5883,4292,2026-02-03,0.5,Invigilator
2174,3210,4074,2025-09-15,1.0,Educator
2175,5594,4161,2025-09-11,0.75,Invigilator
2176,2335,4078,2025-12-13,1.0,Co-Educator
2177,2317,4264,2025-05-10,1.0,Co-Educator
2178,5235,4202,2026-03-21,0.75,Invigilator
2179,3494,4007,2025-09-09,0.25,Invigilator
2180,5356,4198,2025-10-24,0.5,Co-Educator
2181,5344,4080,2025-06-02,0.5,Co-Educator
2182,5107,4370,2025-09-26,0.25,Invigilator
2183,1686,4052,2025-07-22,1.0,Educator
2184,3946,4352,2025-10-29,0.75,Educator
2185,1485,4069,2026-02-07,0.75,Invigilator
2186,4230,4135,2025-11-14,0.25,Invigilator
2187,4667,4348,2025-10-18,1.0,Co-Educator
2188,4917,4317,2025-10-18,1.0,Co-Educator
2189,5320,4118,2025-11-12,0.0,Invigilator
2190,3618,4276,2026-04-07,1.0,Co-Educator
2191,3802,4394,2025-10-08,1.0,Educator
2192,3423,4170,2025-10-07,0.5,Invigilator
2193,1586,4154,2025-10-23,0.75,Educator
2194,1021,4320,2025-07-23,1.0,Educator
2195,3490,4365,2025-07-12,0.5,Co-Educator
2196,5346,4189,2025-09-08,0.25,Co-Educator
2197,5381,4263,2025-10-01,0.75,Invigilator
2198,1096,4062,2025-11-19,1.0,Co-Educator
2199,1130,4060,2025-08-09,0.25,Educator
2200,1511,4060,2026-01-08,0.5,Educator
2201,3167,4386,2025-09-23,0.75,Educator
