session_id,faculty_id,batch_id,session_date,session_allocated,session_taken,session_left,session_status
5001,4972,4457,2025-06-13,0.75,0.0,0.75,Pending
5002,4891,4375,2025-07-30,0.25,0.0,0.25,Pending
5003,1136,4214,2025-05-20,0.0,0.75,-0.75,Partial
5004,1987,4102,2025-10-18,0.5,0.5,0.0,Completed
5005,5894,4154,2025-08-04,0.25,0.0,0.25,Pending
5006,3650,4428,2025-05-28,0.75,0.5,0.25,Partial
5007,4030,4130,2026-05-04,0.75,0.0,0.75,Pending
5008,1210,4049,2026-01-05,0.75,0.75,0.0,Completed
5009,3645,4069,2025-07-27,0.25,0.25,0.0,Completed
5010,2561,4362,2025-11-10,0.5,0.5,0.0,Completed
5011,4534,4299,2025-11-09,0.75,0.75,0.0,Completed
5012,4280,4069,2025-10-10,0.5,1.0,-0.5,Partial
5013,4600,4355,2025-10-11,0.25,0.25,0.0,Completed
5014,1074,4068,2025-06-07,0.75,0.5,0.25,Partial
5015,3702,4467,2025-10-21,0.0,0.0,0.0,Completed
5016,4742,4383,2025-10-14,0.75,0.75,0.0,Completed
5017,4417,4265,2025-06-27,0.25,0.0,0.25,Pending
5018,4270,4260,2026-02-03,0.5,0.25,0.25,Partial
5019,1459,4132,2025-08-01,0.5,0.5,0.0,Completed
5020,3874,4284,2025-12-18,0.25,0.75,-0.5,Partial
5021,1143,4372,2026-01-04,1.0,0.75,0.25,Partial
5022,3379,4444,2025-05-10,0.5,0.75,-0.25,Partial
5023,2359,4106,2026-03-23,0.75,0.5,0.25,Partial
5024,4163,4012,2025-09-07,1.0,0.75,0.25,Partial
5025,3957,4042,2026-01-31,0.5,1.0,-0.5,Partial
5026,2958,4004,2025-11-09,0.25,1.0,-0.75,Partial
5027,3835,4095,2026-05-05,0.75,0.75,0.0,Completed
5028,3381,4094,2025-12-16,0.75,1.0,-0.25,Partial
5029,4608,4085,2026-02-09,1.0,0.0,1.0,Pending
5030,2560,4394,2025-07-31,1.0,1.0,0.0,Completed
5031,1916,4380,2025-12-06,0.75,0.75,0.0,Completed
5032,4893,4473,2026-05-02,1.0,0.5,0.5,Partial
5033,4527,4445,2025-06-02,1.0,0.75,0.25,Partial
5034,4157,4295,2025-12-29,0.5,0.5,0.0,Completed
5035,2478,4322,2026-01-16,0.25,0.0,0.25,Pending
5036,4493,4153,2025-07-05,0.25,1.0,-0.75,Partial
5037,5105,4302,2025-11-27,1.0,1.0,0.0,Completed
5038,4152,4040,2025-09-16,0.5,0.5,0.0,Completed
5039,5378,4088,2025-06-13,0.25,0.0,0.25,Pending
5040,4644,4100,2025-11-19,0.5,1.0,-0.5,Partial
5041,4310,4453,2025-09-18,1.0,0.0,1.0,Pending
5042,1981,4429,2026-02-17,0.25,1.0,-0.75,Partial
5043,2292,4154,2025-12-12,0.75,1.0,-0.25,Partial
5044,5849,4477,2025-08-01,0.5,0.25,0.25,Partial
5045,3110,4261,2025-09-27,0.25,1.0,-0.75,Partial
5046,3278,4035,2025-12-02,1.0,1.0,0.0,Completed
5047,5309,4143,2026-01-06,0.5,1.0,-0.5,Partial
5048,3264,4130,2025-11-26,0.5,0.5,0.0,Completed
5049,1438,4104,2025-09-30,0.25,0.5,-0.25,Partial
5050,3760,4179,2026-04-15,0.25,0.0,0.25,Pending
5051,4591,4092,2025-11-11,1.0,0.25,0.75,Partial
5052,2592,4050,2025-05-13,0.25,0.25,0.0,Completed
5053,3718,4489,2026-01-21,0.5,0.0,0.5,Pending
5054,3879,4268,2025-10-06,0.5,0.5,0.0,Completed
5055,3949,4324,2025-09-24,0.5,0.75,-0.25,Partial
5056,3017,4327,2025-10-09,0.5,0.0,0.5,Pending
5057,2231,4399,2025-11-15,0.75,0.75,0.0,Completed
5058,1314,4165,2026-04-23,0.25,0.25,0.0,Completed
5059,1407,4329,2025-12-25,1.0,1.0,0.0,Completed
5060,4327,4380,2026-01-16,0.75,1.0,-0.25,Partial
5061,4001,4479,2025-10-05,0.75,0.75,0.0,Completed
5062,2455,4318,2025-10-15,0.75,1.0,-0.25,Partial
5063,5578,4468,2025-10-13,0.5,0.5,0.0,Completed
5064,5025,4429,2026-03-25,0.75,0.75,0.0,Completed
5065,5776,4478,2025-09-11,1.0,1.0,0.0,Completed
5066,3427,4159,2026-02-04,0.25,0.0,0.25,Pending
5067,2985,4177,2025-09-14,0.5,0.0,0.5,Pending
5068,4945,4322,2026-04-17,1.0,0.25,0.75,Partial
5069,5395,4438,2026-01-19,0.75,0.75,0.0,Completed
5070,2561,4017,2025-05-27,0.75,0.75,0.0,Completed
5071,5517,4498,2025-12-11,0.75,0.0,0.75,Pending
5072,1343,4308,2025-11-18,1.0,0.0,1.0,Pending
5073,1277,4138,2025-12-22,0.5,0.0,0.5,Pending
5074,5302,4327,2025-07-10,1.0,0.75,0.25,Partial
5075,4803,4262,2025-11-23,0.5,0.25,0.25,Partial
5076,4118,4454,2026-01-07,0.25,0.0,0.25,Pending
5077,5927,4046,2025-10-11,0.5,0.25,0.25,Partial
5078,4163,4101,2025-11-03,0.75,0.75,0.0,Completed
5079,3451,4320,2026-04-04,1.0,1.0,0.0,Completed
5080,4681,4256,2025-05-30,0.75,0.25,0.5,Partial
5081,5669,4310,2026-03-30,0.5,0.5,0.0,Completed
5082,5372,4284,2026-04-13,0.75,1.0,-0.25,Partial
5083,1587,4439,2025-12-21,1.0,0.25,0.75,Partial
5084,1827,4473,2026-05-08,0.25,1.0,-0.75,Partial
5085,2845,4131,2026-04-17,0.75,0.75,0.0,Completed
5086,4977,4236,2026-04-01,0.25,0.75,-0.5,Partial
5087,5433,4039,2026-02-03,0.75,0.0,0.75,Pending
5088,5603,4338,2025-10-17,0.25,0.75,-0.5,Partial
5089,1314,4475,2025-06-28,0.75,0.75,0.0,Completed
5090,5511,4487,2026-03-31,0.5,0.75,-0.25,Partial
5091,4282,4438,2026-05-04,0.75,0.0,0.75,Pending
5092,3763,4082,2026-01-17,0.5,0.0,0.5,Pending
5093,2859,4385,2025-11-28,0.75,0.25,0.5,Partial
5094,3400,4297,2025-08-04,1.0,0.75,0.25,Partial
5095,3994,4493,2026-04-15,0.5,0.75,-0.25,Partial
5096,5297,4103,2025-06-25,0.75,0.5,0.25,Partial
5097,4088,4347,2025-09-24,0.75,0.25,0.5,Partial
5098,1464,4237,2025-06-24,0.25,0.25,0.0,Completed
5099,1533,4459,2025-12-07,0.25,0.25,0.0,Completed
5100,1369,4226,2026-02-02,1.0,0.75,0.25,Partial
5101,4886,4250,2025-07-27,0.25,0.75,-0.5,Partial
5102,2281,4010,2026-03-24,1.0,0.75,0.25,Partial
5103,4329,4482,2026-03-21,0.25,1.0,-0.75,Partial
5104,5810,4439,2026-05-05,0.25,0.75,-0.5,Partial
5105,5717,4412,2026-02-04,1.0,0.75,0.25,Partial
5106,5762,4179,2025-12-30,1.0,0.25,0.75,Partial
5107,1084,4253,2025-06-14,0.5,0.75,-0.25,Partial
5108,5086,4444,2026-01-12,1.0,0.5,0.5,Partial
5109,5654,4151,2026-01-16,0.75,0.5,0.25,Partial
5110,2351,4441,2026-02-16,0.5,0.25,0.25,Partial
5111,5126,4378,2025-09-01,0.25,1.0,-0.75,Partial
5112,3290,4179,2025-11-05,0.25,0.0,0.25,Pending
5113,3987,4151,2026-02-11,1.0,0.75,0.25,Partial
5114,1325,4162,2026-01-06,0.5,0.0,0.5,Pending
5115,5890,4034,2025-05-08,0.5,0.25,0.25,Partial
5116,3757,4001,2025-10-05,0.5,0.0,0.5,Pending
5117,3724,4248,2026-02-02,1.0,1.0,0.0,Completed
5118,1304,4320,2025-10-01,0.5,0.0,0.5,Pending
5119,4618,4330,2026-03-07,0.5,0.5,0.0,Completed
5120,5747,4447,2025-06-02,1.0,0.75,0.25,Partial
5121,4628,4341,2026-02-15,0.0,1.0,-1.0,Partial
5122,1727,4449,2025-08-21,0.75,0.0,0.75,Pending
5123,1286,4498,2025-11-01,0.75,0.5,0.25,Partial
5124,3644,4041,2025-06-25,0.25,0.75,-0.5,Partial
5125,1955,4306,2025-05-17,0.75,0.25,0.5,Partial
5126,2335,4008,2025-12-22,0.75,0.5,0.25,Partial
5127,3323,4367,2025-11-04,0.25,1.0,-0.75,Partial
